Dataset,Repeat,Fold,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall,TN,FP,FN,TP
vehicle0,1,2,Random US,0.9101654846335697,0.920314253647587,0.9201164551613755,0.8303571428571429,0.7800655121465493,0.9761192168599576,0.9393939393939394,0.9012345679012346,0.9393939393939394,292,32,6,93
vehicle0,1,2,Cluster US,0.8770685579196218,0.8846801346801347,0.8845643963799698,0.7739130434782608,0.7045191199693612,0.9525813692480358,0.898989898989899,0.8703703703703703,0.898989898989899,282,42,10,89
vehicle0,1,2,SMOTE,0.9219858156028369,0.9140011223344557,0.913877844573521,0.8436018957345972,0.794570451902369,0.9813879536101758,0.898989898989899,0.9290123456790124,0.898989898989899,301,23,10,89
vehicle0,1,2,Residual-Guided GMM,0.9125295508274232,0.9148428731762066,0.9148325357135315,0.8310502283105022,0.7792768849115485,0.9779897742860706,0.9191919191919192,0.9104938271604939,0.9191919191919192,295,29,8,91
vehicle0,2,1,Original GB,0.950354609929078,0.9295201238390093,0.9286796112941409,0.8944723618090452,0.862034546180078,0.9904953560371516,0.89,0.9690402476780186,0.89,313,10,11,89
vehicle0,2,1,Random US,0.9243498817966903,0.940108359133127,0.9396330223647241,0.8584070796460177,0.8177628495861882,0.9786377708978328,0.97,0.9102167182662538,0.97,294,29,3,97
vehicle0,2,1,Cluster US,0.9527186761229315,0.9621362229102167,0.9619703721549977,0.9074074074074074,0.880244023288282,0.9902786377708979,0.98,0.9442724458204335,0.98,305,18,2,98
vehicle0,2,1,SMOTE,0.9574468085106383,0.954876160990712,0.954863710632231,0.9134615384615384,0.8864561946266107,0.9924148606811145,0.95,0.9597523219814241,0.95,310,13,5,95
vehicle0,2,1,Residual-Guided GMM,0.9408983451536643,0.9613003095975232,0.9605210144473917,0.8888888888888888,0.85911611284857,0.9907120743034056,1.0,0.9226006191950464,1.0,298,25,0,100
vehicle0,2,2,Original GB,0.9527186761229315,0.9270482603815937,0.9257912359949019,0.8969072164948454,0.8665593860427436,0.990958972440454,0.8787878787878788,0.9753086419753086,0.8787878787878788,316,8,12,87
vehicle0,2,2,Random US,0.9314420803782506,0.9377104377104377,0.9376363848918734,0.8663594470046083,0.826449036573519,0.9880907843870808,0.9494949494949495,0.9259259259259259,0.9494949494949495,300,24,5,94
vehicle0,2,2,Cluster US,0.9290780141843972,0.9291526374859709,0.9291526268947126,0.8598130841121495,0.8167847218882153,0.9848952487841376,0.9292929292929293,0.9290123456790124,0.9292929292929293,301,23,7,92
vehicle0,2,2,SMOTE,0.950354609929078,0.9395342312008979,0.9393139847465232,0.896551724137931,0.8643722002290443,0.9874984412021449,0.9191919191919192,0.9598765432098766,0.9191919191919192,311,13,8,91
vehicle0,2,2,Residual-Guided GMM,0.9408983451536643,0.9508978675645343,0.9507120217488537,0.8847926267281107,0.8513484626754134,0.9895560543708692,0.9696969696969697,0.9320987654320988,0.9696969696969697,302,22,3,96
vehicle0,3,1,Original GB,0.9479905437352246,0.9348761609907121,0.934545136953318,0.8921568627450981,0.8581927609630484,0.9867801857585139,0.91,0.9597523219814241,0.91,310,13,9,91
vehicle0,3,1,Random US,0.9385342789598109,0.9424922600619194,0.9424623568703671,0.8796296296296297,0.8428276078815415,0.9886687306501548,0.95,0.934984520123839,0.95,302,21,5,95
vehicle0,3,1,Cluster US,0.9361702127659575,0.9443962848297214,0.9442673704375605,0.8767123287671232,0.8398300380146204,0.9879566563467491,0.96,0.9287925696594427,0.96,300,23,4,96
vehicle0,3,1,SMOTE,0.9408983451536643,0.9302321981424149,0.9300121507911577,0.8792270531400966,0.8410053065504705,0.9886068111455109,0.91,0.9504643962848297,0.91,307,16,9,91
vehicle0,3,1,Residual-Guided GMM,0.9385342789598109,0.9563003095975232,0.955706342452061,0.8839285714285714,0.8517959749197777,0.9887925696594427,0.99,0.9226006191950464,0.99,298,25,1,99
vehicle0,3,2,Original GB,0.950354609929078,0.9255050505050505,0.9243252156990549,0.8923076923076924,0.8602314662711248,0.9796421000124704,0.8787878787878788,0.9722222222222222,0.8787878787878788,315,9,12,87
vehicle0,3,2,Random US,0.9148936170212766,0.9409371492704826,0.939662416530283,0.8448275862068966,0.8042146286019408,0.980265619154508,0.98989898989899,0.8919753086419753,0.98989898989899,289,35,1,98
